id,address,item_id,latitude,longitude,map_type,url,zoom_level
3479,portland,1763,45.5202471,-122.6741949,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3479,5
3480,sausalito,10741,37.8590272,-122.4854694,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3480,5
3481,topeka,10742,39.049011,-95.677556,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3481,5
3482,"Bogota, Columbia",10743,4.59808,-74.0760439,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3482,5
3483,"101 east erie street, chicago",10634,41.8939244,-87.6252034,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3483,5
3484,san francisco,10570,37.7790262,-122.4199061,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3484,5
3485,cairo,10604,30.048819,31.243666,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3485,5
3486,"chevy chase, maryland",10631,38.9822473,-77.0881873,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3486,5
3487,pasadena,10632,34.1476452,-118.1444779,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3487,5
3488,hollywood,10629,34.0980031,-118.329523,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3488,5
3489,hollywood,10628,34.0980031,-118.329523,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3489,5
3490,hollywood,10627,34.0980031,-118.329523,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3490,5
3491,hollywood,10626,34.0980031,-118.329523,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3491,5
3492,hollywood,10625,34.0980031,-118.329523,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3492,5
3493,"newport, rhode island",10630,41.4899827,-71.3137707,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3493,5
3494,"princeton, nj",10624,40.3492744,-74.6592958,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3494,5
3495,algeria,10611,28.0000272,2.9999825,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3495,5
3496,Bahnhof Zoo,10602,52.5074342,13.3325608,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3496,5
3497,tibetan plateau,10700,31.85,87.4,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3497,5
3498,cape cod,10650,41.7988074,-69.9960134711573,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3498,5
3499,seattle,10744,47.6038321,-122.3300624,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3499,5
3500,"north pownal, vermont",10745,42.7975789,-73.2645534,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3500,5
3501,harvard,10746,42.36790855,-71.12678237443698,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3501,5
3502,togo,10283,8.7800265,1.0199765,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3502,5
3503,"Muncie, Indiana",1012,40.1936892,-85.3865271,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3503,5
3504,"jonesville, virginia",10747,36.6889777,-83.1110047,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3504,5
3505,madison,10748,43.074761,-89.3837613,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3505,5
3506,sierra nevada,10749,36.58,-118.3,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3506,5
3507,"Philadelphia, Pennsylvania",2337,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3507,5
3508,omaha,10600,41.2587459,-95.9383758,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3508,5
3509,berkeley,10607,37.8708393,-122.2728639,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3509,5
3510,bramstedt,10601,53.3667515,8.6902857,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3510,5
3511,bosnia,7176,44.3053476,17.5961467,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3511,5
3512,bosnia,7177,44.3053476,17.5961467,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3512,5
3513,san francisco,7333,37.7790262,-122.4199061,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3513,5
3514,san diego,7334,32.7174209,-117.1627714,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3514,5
3515,tibet,8250,29.8556443,90.8749807,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3515,5
3516,california,8251,36.7014631,-118.7559974,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3516,5
3517,los angeles,8252,34.0536909,-118.2427666,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3517,5
3518,yucatan,8253,20.6845957,-88.8755669,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3518,5
3519,andhra pradesh,9850,15.9240905,80.1863809,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3519,5
3520,"52 west 5th street, new york city",8292,40.9013566,-73.835983,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3520,5
3521,st. louis,8291,38.6268039,-90.1994097,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3521,5
3522,san francisco,8283,37.7790262,-122.4199061,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3522,5
3523,washington dc,9304,38.8949855,-77.0365708,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3523,5
3525,nashville,6974,36.1622296,-86.7743531,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3525,5
3526,vancouver,6975,49.2608724,-123.1139529,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3526,5
3527,"313 north figueroa street, los angeles",7103,34.0579906,-118.2517623,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3527,5
3528,los angeles,7104,34.0536909,-118.2427666,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3528,5
3529,los angeles,7105,34.0536909,-118.2427666,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3529,5
3530,sacramento,7106,38.5815719,-121.4943996,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3530,5
3531,sacramento,7107,38.5815719,-121.4943996,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3531,5
3532,sacramento,7108,38.5815719,-121.4943996,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3532,5
3533,sacramento,7109,38.5815719,-121.4943996,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3533,5
3534,"salem, oregon",7133,44.9391565,-123.033121,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3534,5
3535,washington dc,7167,38.8949855,-77.0365708,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3535,5
3536,washington dc,7168,38.8949855,-77.0365708,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3536,5
3537,berkeley,6761,37.8708393,-122.2728639,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3537,5
3538,san francisco,6762,37.7790262,-122.4199061,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3538,5
3539,Kansas city,990,39.100105,-94.5781416,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3539,5
3540,"san rafael, california",6765,37.9735346,-122.5310874,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3540,5
3541,"blaine, washington",6869,48.9881108,-122.7435757,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3541,5
3542,netherlands,6874,52.5001698,5.7480821,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3542,5
3543,netherlands,6872,52.5001698,5.7480821,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3543,5
3544,pensacola,10695,30.421309,-87.2169149,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3544,5
